FIRST_NAME;LAST_NAME;COMPANY;POSITION;BIOGRAPHY;WEBSITE;CITY;COUNTRY;AVAILABILITY;EXPERIENCE_YEARS;HOURLY_RATE;DAILY_RATE;SKILLS_GENERAL;SKILLS_TECH;SKILLS_SOFT;AWARDS;CERTIFICATIONS;STATUS
Heike;Hagemeier;BMI;Cybersecurity Research;Cybersecurity Research bei BMI. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.omnisecure.berlin/;;;available;;;;Cybersecurity Research;Cybersecurity Research;Präsentation, Kommunikation;;;active
Daniel;Loebenberger;OTH Amberg-Weiden;Informatik / Kryptographie;Informatik / Kryptographie bei OTH Amberg-Weiden. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.omnisecure.berlin/;;;available;;;;Informatik, Kryptographie;Informatik, Kryptographie;Präsentation, Kommunikation;;;active
Marian;Margraf;Freie Universität Berlin;Informatik / Digital ID;Informatik / Digital ID bei Freie Universität Berlin. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.omnisecure.berlin/;;;available;;;;Informatik, Digital ID;Informatik, Digital ID;Präsentation, Kommunikation;;;active
Stephan;Klein;Governikus;Digital Identity / eID;Digital Identity / eID bei Governikus. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.governikus.de/;;;available;;;;Digital Identity, eID;Digital Identity, eID;Präsentation, Kommunikation;;;active
Hartje;Bruns;Governikus;Digital Identity;Digital Identity bei Governikus. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.governikus.de/;;;available;;;;Digital Identity;Digital Identity;Präsentation, Kommunikation;;;active
Tobias;Fehenberger;Adva Network Security;Quantum-Safe Cryptography;Quantum-Safe Cryptography bei Adva Network Security. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.omnisecure.berlin/;;;available;;;;Quantum-Safe Cryptography;Quantum-Safe Cryptography;Präsentation, Kommunikation;;;active
Marwan;Abu-Khalil;Siemens AG;Software Architecture;Software Architecture bei Siemens AG. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software Architecture;Software Architecture;Präsentation, Kommunikation;;;active
Adam;Bien;adam-bien.com;Java / Cloud Native;Java / Cloud Native bei adam-bien.com. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;http://adam-bien.com/;;;available;;;;Java, Cloud Native;Java, Cloud Native;Präsentation, Kommunikation;Java Champion;;active
Stefan;Toth;embarc GmbH;Software-Architektur;Software-Architektur bei embarc GmbH. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software-Architektur;Software-Architektur;Präsentation, Kommunikation;;;active
Falk;Sippach;embarc GmbH;Software-Architektur / DDD;Software-Architektur / DDD bei embarc GmbH. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software-Architektur, DDD;Software-Architektur, DDD;Präsentation, Kommunikation;;;active
Stefan;Zörner;embarc GmbH;Software-Architektur;Software-Architektur bei embarc GmbH. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software-Architektur;Software-Architektur;Präsentation, Kommunikation;;;active
Kim;Duggen;embarc GmbH;Software-Architektur;Software-Architektur bei embarc GmbH. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software-Architektur;Software-Architektur;Präsentation, Kommunikation;;;active
Alexander;Kaserbacher;;Software Architecture;Software Architecture. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software Architecture;Software Architecture;Präsentation, Kommunikation;;;active
Felix;Kammerlander;;Software Architecture;Software Architecture. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.oop-konferenz.de/;;;available;;;;Software Architecture;Software Architecture;Präsentation, Kommunikation;;;active
Bernd;Rattey;Deutsche Bahn;CIO / IT-Strategie;CIO / IT-Strategie bei Deutsche Bahn. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.it-strategietage.de/;;;available;;;;CIO, IT-Strategie;CIO, IT-Strategie;Präsentation, Kommunikation;;;active
Elke;Anderl;T-Systems;Industrial AI Cloud;Industrial AI Cloud bei T-Systems. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.t-systems.com/;;;available;;;;Industrial AI Cloud;Industrial AI Cloud;Präsentation, Kommunikation;;;active
Claudia;Plattner;BSI;Cybersecurity & AI;Cybersecurity & AI bei BSI. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.bsi.bund.de/;;;available;;;;Cybersecurity & AI;Cybersecurity & AI;Präsentation, Kommunikation;BSI-Präsidentin;;active
Franz;Decker;BMW;CIO / Digital Transformation;CIO / Digital Transformation bei BMW. Speaker aus dem Event-Datensatz 2026 (Profil zur Prüfung).;https://www.it-strategietage.de/;;;available;;;;CIO, Digital Transformation;CIO, Digital Transformation;Präsentation, Kommunikation;;;active
